"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Technology-Assisted Emotion Recognition for Autism Spectrum Disorder (ASD) Children: A Systematic Literature Review","M. A. Rashidan; S. N. Sidek; H. M. Yusof; M. Khalid; A. A. A. Dzulkarnain; A. S. Ghazali; S. A. M. Zabidi; F. A. A. Sidique","Department of Mechatronics Engineering, Kulliyyah of Engineering, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Mechatronics Engineering, Kulliyyah of Engineering, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Mechatronics Engineering, Kulliyyah of Engineering, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Curriculum and Instruction, Kulliyyah of Education, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Audiology and Speech-Language Pathology, Kulliyyah of Allied Health Sciences, International Islamic University Malaysia, Jalan Sultan Ahmad Shah, Kuantan Pahang, Malaysia; Department of Mechatronics Engineering, Kulliyyah of Engineering, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Mechatronics Engineering, Kulliyyah of Engineering, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Curriculum and Instruction, Kulliyyah of Education, International Islamic University Malaysia, Kuala Lumpur, Malaysia",IEEE Access,"18 Mar 2021","2021","9","","33638","33653","The information about affective states in individuals with autism spectrum disorder (ASD) is difficult to obtain as they usually suffer from deficits in facial expression. Affective state conditions of individuals with ASD were associated with impaired regulation of speech, communication, and social skills leading towards poor socio-emotion interaction. It is conceivable that the advance of technology could offer a psychophysiological alternative modality, particularly useful in persons who cannot verbally communicate their emotions as affective states such as individuals with ASD. The study is focusing on the investigation of technology-assisted approach and its relationship to affective states recognition. A systematic review was executed to summarize relevant research that involved technology-assisted implementation to identify the affective states of individuals with ASD using Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) approach. The output from the online search process obtained from six publication databases on relevant studies published up to 31 July 2020 was analyzed. Out of 391 publications retrieved, 20 papers met the inclusion and exclusion criteria set in prior. Data were synthesized narratively despite methodological and heterogeneity variations. In this review, some research methods, systems, equipment and models to address all the related issues to the technology-assisted and affective states concerned were presented. As for the consequence, it can be assumed that the emotion recognition with assisted by technology, for evaluating and classifying affective states could help to improve efficacy in therapy sessions between therapists and individuals with ASD. This review will serve as a concise reference for providing general overviews of the current state-of-the-art studies in this area for practitioners, as well as for experienced researchers who are searching for a new direction for future works.","2169-3536","","10.1109/ACCESS.2021.3060753","Ministry of Higher Education Malaysia under the Transdisciplinary Research Grant Scheme(grant numbers:TRGS/1/2019/UIAM/02/4); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9359753","Affective state;emotion recognition;frontal facial image;autism","Databases;Systematics;Emotion recognition;Autism;Variable speed drives;Pediatrics","","36","","55","CCBY","22 Feb 2021","2021","","IEEE","IEEE Journals"
"m_AutNet–A Framework for Personalized Multimodal Emotion Recognition in Autistic Children","A. Kurian; S. Tripathi","Department of Computer Science and Engineering, PES University, EC Campus, Bengaluru, Karnataka, India; Department of Electronics and Communication Engineering, PES University, RR Campus, Bengaluru, Karnataka, India",IEEE Access,"3 Jan 2025","2025","13","","1651","1662","Challenges associated with autism spectrum disorder (ASD) include deficits in interpersonal communication, social interaction skills, and behavior. Autistic children experience difficulties in recognizing emotions and expressing emotions, along with intense emotional upheavals called meltdowns. These outbreaks lead to immense physical and emotional distress in children with autism. Generalized emotion recognition classifiers cannot handle the variations in the prototypical display of affect experienced by ASD children. This paper looks at developing a personalized multimodal neural framework, m_AutNet, that can effectively identify the emotions of autistic children by combining data from their facial and vocal expression modalities. The proposed network includes a personalized facial feature extraction module (that incorporates a distance metric to cluster embeddings with similar labels together and marginalizes dissimilar embeddings), and an audio modality CNN feature extractor that works on speech expression samples of autistic children. Domain adaptation of the multimodal features is achieved through a generative adversarial network tuned with the Wasserstein metric to form a domain-invariant distribution alignment of the feature vectors. A classifier performs emotion classification on this domain space following adaptation. The proposed algorithm shows higher performance than state-of-the-art affect recognition classifiers for autistic children, with an accuracy of 88.25%.","2169-3536","","10.1109/ACCESS.2024.3403087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10535108","Autism;affective computing;domain adaptation;data fusion;generative adversarial network;multimodal neural network;personalized neural network;Wasserstein GAN","Emotion recognition;Generative adversarial networks;Measurement;Neural networks;Feature extraction;Training;Pediatrics;Autism;Affective computing;Data integration;Multisensory integration","","7","","78","CCBYNCND","20 May 2024","2025","","IEEE","IEEE Journals"
"Computer Vision-Based Assessment of Autistic Children: Analyzing Interactions, Emotions, Human Pose, and Life Skills","V. G. Prakash; M. Kohli; S. Kohli; A. P. Prathosh; T. Wadhera; D. Das; D. Panigrahi; J. V. S. Kommu","CogniAble, Gurugram, Haryana, India; CogniAble, Gurugram, Haryana, India; CogniAble, Gurugram, Haryana, India; Department of Electrical Communication Engineering, Signal Processing Building West, Indian Institute of Science, Bengaluru, India; Department of Electronics and Communication Engineering, Indian Institute of Information Technology Una (IIITU), Una, Himachal Pradesh, India; Institute of NeuroDevelopment, Kolkata, West Bengal, India; Jagannath Hospital, Bhubaneswar, Odisha, India; Department of Child and Adolescent Psychiatry, National Institute of Mental Health and Neurosciences (NIMHANS), Bengaluru, Karnataka, India",IEEE Access,"22 May 2023","2023","11","","47907","47929","In this paper, the proposed work implements and tests the computer vision applications to perform the skill and emotion assessment of children with Autism Spectrum Disorder (ASD) by extracting various bio-behaviors, human activities, child-therapist interactions, and joint pose estimations from the recorded videos of interactive single- or two-person play-based intervention sessions. A comprehensive data set of 300 videos is amassed from ASD children engaged in social interaction, and three novel deep learning-based vision models are developed, which are explained as follows: (i) activity comprehension to analyze child-play partner interactions (activity comprehension model); (ii) an automatic joint attention recognition framework using head and hand pose; and (iii) emotion and facial expression recognition. The proposed models are also tested on children’s real-world, 68 unseen videos captured from the clinic, and public datasets. The activity comprehension model has an overall accuracy of 72.32%, the joint attention recognition models have an accuracy of 97% for follow eye gaze and 93.4% for hand pointing, and the facial expression recognition model has an overall accuracy of 95.1%. The proposed models could extract behaviors of interest, events of activities, emotions, and social skills from free-play and intervention session videos of long duration and provide temporal plots for session monitoring and assessment, thus empowering clinicians with insightful data useful in diagnosis, assessment, treatment formulation, and monitoring ASD children with limited supervision.","2169-3536","","10.1109/ACCESS.2023.3269027","Biotechnology Industry Research Assistance Council (BIRAC), India(grant numbers:BIRAC/FITT0528/BIG-13/18); Social Alpha, India; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10105862","Autism spectrum disorder;activity comprehension;facial expressions;joint attention;ASD screening;applied behavior analysis","Behavioral sciences;Videos;Computational modeling;Face recognition;Autism;Variable speed drives;Pediatrics","","37","","106","CCBY","20 Apr 2023","2023","","IEEE","IEEE Journals"
"Implementation of Wavelet Analysis on Thermal Images for Affective States Recognition of Children With Autism Spectrum Disorder","N. Rusli; S. N. Sidek; H. M. Yusof; N. I. Ishak; M. Khalid; A. A. A. Dzulkarnain","Department of Mechatronics Engineering, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Mechatronics Engineering, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Mechatronics Engineering, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Mechatronics Engineering, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Curriculum and Instruction, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Audiology and Speech-Language Pathology, International Islamic University Malaysia–Kuantan, Kuantan, Malaysia",IEEE Access,"9 Jul 2020","2020","8","","120818","120834","Children with Autism Spectrum Disorder are identified as a group of people who has difficulties in socio-emotional interaction. Most of them lack the proper context in producing social response through facial expression and speech. Since emotion is the key for effective social interaction, it is justifiably vital for them to comprehend the correct emotion expressions and recognitions. Emotion is a type of affective states and can be detected through physical reaction and physiological signals. In general, recognition of affective states from physical reaction such as facial expression and speech for autistic children is often unpredictable. Hence, an alternative method of identifying the affective states through physiological signals is proposed. Though considered non-invasive, most of the current recognition methods require sensors to be patched on to the skin body to measure the signals. This would most likely cause discomfort to the children and mask their “true” affective states. The study proposed the use of thermal imaging modality as a passive medium to analyze the physiological signals associated with the affective states nonobtrusively. The study hypothesized that, the impact of cutaneous temperature changes due to the pulsating blood flow in the blood vessels at the frontal face area measured from the modality could have a direct impact to the different affective states of autistic children. A structured experimental setup was designed to measure thermal imaging data generated from different affective state expressions induced using different sets of audio-video stimuli. A wavelet-based technique for pattern detection in time series was deployed to spot the changes measured from the region of interest. In the study, the affective state model for typical developing children aged between 5 and 9 years old was used as the baseline to evaluate the performance of the affective state classifier for autistic children. The results from the classifier showed the efficacy of the technique and accorded good performance of classification accuracy at 88% in identifying the affective states of autistic children. The results were momentous in distinguishing basic affective states and the information could provide a more effective response towards improving social-emotion interaction amongst the autistic children.","2169-3536","","10.1109/ACCESS.2020.3006004","Transdisciplinary Research Grant Scheme and by the Fundamental Research Grant Scheme through the Ministry of Higher Education Malaysia(grant numbers:TRGS19-01-002-0009,FRGS16-030-0529); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9129740","Autism;affective states;facial skin temperatures;thermoregulation;thermal images;wavelet","Feature extraction;Imaging;Temperature measurement;Thermal analysis;Image recognition;Face;Physiology","","29","","54","CCBY","30 Jun 2020","2020","","IEEE","IEEE Journals"
"Estimating Autism Severity in Young Children From Speech Signals Using a Deep Neural Network","M. Eni; I. Dinstein; M. Ilan; I. Menashe; G. Meiri; Y. Zigel","Department of Biomedical Engineering, Ben-Gurion University of the Negev, Beersheba, Israel; Department of Brain and Cognitive Sciences, Ben-Gurion University of the Negev, Beersheba, Israel; Department of Psychology, Ben-Gurion University of the Negev, Beersheba, Israel; National Autism Research Center of Israel, Ben-Gurion University of the Negev, Beersheba, Israel; National Autism Research Center of Israel, Ben-Gurion University of the Negev, Beersheba, Israel; Department of Biomedical Engineering, Ben-Gurion University of the Negev, Beersheba, Israel",IEEE Access,"5 Aug 2020","2020","8","","139489","139500","Autism Spectrum Disorder (ASD) is a neurodevelopmental disorder that involves difficulties in social communication. Previous research has demonstrated that these difficulties are apparent in the way ASD children speak, indicating that it may be possible to estimate ASD severity using quantitative features of speech. Here, we extracted a variety of prosodic, acoustic, and conversational features from speech recordings of Hebrew speaking children who completed an Autism Diagnostic Observation Schedule (ADOS) assessment. Sixty features were extracted from the recordings of 72 children and 21 of the features were significantly correlated with the children's ADOS scores. Positive correlations were found with pitch variability and Zero Crossing Rate (ZCR), while negative correlations were found with the speed and number of vocal responses to the clinician, and the overall number of vocalizations. Using these features, we built several Deep Neural Network (DNN) algorithms to estimate ADOS scores and compared their performance with Linear Regression and Support Vector Regression (SVR) models. We found that a Convolutional Neural Network (CNN) yielded the best results. This algorithm predicted ADOS scores with a mean RMSE of 4.65 and a mean correlation of 0.72 with the true ADOS scores when trained and tested on different sub-samples of the available data. Automated algorithms with the ability to predict ASD severity in a reliable and sensitive manner have the potential of revolutionizing early ASD identification, quantification of symptom severity, and assessment of treatment efficacy.","2169-3536","","10.1109/ACCESS.2020.3012532","Israel Science Foundation(grant numbers:961/14); BGU Research Authority; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9151117","Audio signals;autism;autism diagnostic observation schedule;autism spectrum disorder;convolutional neural network;deep neural network;early detection;outcome measure;pitch;speech;symptom severity;treatment efficacy;zero crossing rate","Feature extraction;Autism;Correlation;Energy states;Bandwidth;Prediction algorithms;Jitter","","67","","43","CCBY","28 Jul 2020","2020","","IEEE","IEEE Journals"
"A Data-Driven Approach for Autism Spectrum Disorder Screening","R. S. Parpinelli; G. Lenz Balatka; M. Hupfeld Toviansky; M. Fernandes Gomes; T. Moura De Barros Sanches; H. Dos Santos Alves; M. do Amaral Correa; I. Antiqueira Costa","Graduate Program in Applied Computing, Santa Catarina State University (UDESC), Joinville, Brazil; Graduate Program in Applied Computing, Santa Catarina State University (UDESC), Joinville, Brazil; Graduate Program in Applied Computing, Santa Catarina State University (UDESC), Joinville, Brazil; Graduate Program in Applied Computing, Santa Catarina State University (UDESC), Joinville, Brazil; Research and Development Department, Federation of Medical Cooperatives Unimed/SC, Joinville, Brazil; Research and Development Department, Federation of Medical Cooperatives Unimed/SC, Joinville, Brazil; Research and Development Department, Federation of Medical Cooperatives Unimed/SC, Joinville, Brazil; Research and Development Department, Federation of Medical Cooperatives Unimed/SC, Joinville, Brazil",IEEE Access,"12 Jan 2026","2026","14","","4864","4876","Autism spectrum disorder (ASD) is a brain development condition influenced by genes and environment, with no known cause or cure. The diagnosis is challenging due to the absence of biological markers, requiring various examinations and specialist input. Delayed diagnosis often results in late intervention, emphasizing the need for early, individualized therapeutic approaches to enhance quality of life. Current ASD research emphasizes early detection, integrating clinical assessments with advanced technology to expedite diagnosis. One alternative for achieving rapid detection is the use of Machine Learning (ML) models, which have shown potential in identifying patterns in datasets, aiding in early ASD diagnosis. For this purpose, a representative dataset needs to be used to train these models for the ASD classification task. However, healthcare providers often lack access to detailed diagnostic data, making ML model applications challenging. This study proposes utilizing non-diagnostic data from healthcare providers, such as requests for consultations and procedures, to develop ML models for ASD classification. The approach involves creating a dataset without diagnostic data, selecting essential variables, and training ML models for classification. The classifiers utilized were Random Forest, XGboost, Catboost and a stacking strategy to combine the base classifiers. Models trained with parameter tuning presented better results, and the stacking strategy achieved the accuracy of 73.62%. The present study demonstrates the predictive power of a new strategy for ASD screening, providing an alternative where traditional diagnostic data is unavailable. The proposed approach is running in a healthcare provider operator for ASD screening and is benefiting many children and adolescents with faster and more accurate diagnoses.","2169-3536","","10.1109/ACCESS.2026.3650856","Coordenação de Aperfeiçoamento de Pessoal de NÍvel Superior–Brasil (CAPES)(grant numbers:001); Federation of Medical Coopeartives UNIMED/SC; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11328106","Autism spectrum disorder;classification;healthcare provider data;machine learning","Databases;Autism;Medical services;Genetics;Data models;Psychology;Pediatrics;Companies;Insurance;Delays","","","","32","CCBY","5 Jan 2026","2026","","IEEE","IEEE Journals"
"AV-FOS: Transformer-Based Audio-Visual Multimodal Interaction Style Recognition for Children With Autism Using the Revised Family Observation Schedule 3rd Edition (FOS-R-III)","Z. Zhao; E. Chung; K. -M. Chung; C. H. Park","Department of Biomedical Engineering, School of Engineering and Applied Science, The George Washington University, Washington, DC, USA; Department of Psychology, College of Liberal Arts, Yonsei University, Seoul, South Korea; Department of Psychology, College of Liberal Arts, Yonsei University, Seoul, South Korea; Department of Biomedical Engineering, School of Engineering and Applied Science, The George Washington University, Washington, DC, USA",IEEE Journal of Biomedical and Health Informatics,"5 Sep 2025","2025","29","9","6238","6250","Challenging behaviors in children with autism is a serious clinical condition, oftentimes leading to aggression or self-injurious actions. The Revised Family Observation Schedule 3 rd Edition (FOS-R-III) is an intensive and fine-grained scale used to observe and analyze the behaviors of individuals with autism, which facilitates the diagnosis and monitoring of autism severity. Previous AI-based approaches for automated behavior analysis in autism often focused on predicting facial expressions and body movements without generating a clinically meaningful scale, mostly utilizing visual information. In this study, we propose a deep-learning based algorithm with audio-visual multimodal-data clinically coded with the FOS-R-III, named AV-FOS model. Our proposed AV-FOS model leverages transformer-based structure and self-supervised learning to intelligently recognize Interaction Styles (IS) in the FOS-R-III scale from subjects' video recordings. This enables the automatic generation of the FOS-R-III measures with clinically acceptable accuracy. We explore the IS recognition using a multimodal large language model, GPT4V, with prompt engineering provided with FOS-R-III measure definitions as the baseline for this study and compare with other vision-based deep learning algorithms. We believe this research represents a significant advancement in autism research and clinical accessibility. The proposed AV-FOS and our FOS-R-III dataset will serve as a gateway toward the digital health era for future AI models related to autism.","2168-2208","","10.1109/JBHI.2025.3542066","National Science Foundation(grant numbers:#1846658); CAREER: Social Intelligence with Contextual Ambidexterity for Long-Term Human-Robot Interaction and Intervention; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10887120","Autism spectrum disorder;challenging behaviors;multimodal learning;self-supervised learning;video understanding","Autism;Computational modeling;Brain modeling;Adaptation models;Training;Bioinformatics;Transformers;Pediatrics;Encoding;Deep learning","Humans;Child;Autistic Disorder;Male;Female;Algorithms;Deep Learning;Video Recording;Child, Preschool;Facial Expression","4","","61","CCBY","13 Feb 2025","Sept. 2025","","IEEE","IEEE Journals"
"Automated Autism Assessment With Multimodal Data and Ensemble Learning: A Scalable and Consistent Robot-Enhanced Therapy Framework","I. Hassan; N. Nahid; M. Islam; S. Hossain; B. Schuller; M. A. R. Ahad","Kyushu Institute of Technology, Kitakyushu, Fukuoka, Japan; Kyushu Institute of Technology, Kitakyushu, Fukuoka, Japan; Department of Computer Science and Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Computer Science and Digital Technology, University of East London, London, U.K.; TUM School of Computation, Information and Technology, Technical University of Munich, Munich, Germany; Department of Computer Science and Digital Technology, University of East London, London, U.K.",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"31 Mar 2025","2025","33","","1191","1201","Navigating the complexities of Autism Spectrum Disorder (ASD) diagnosis and intervention requires a nuanced approach that addresses both the inherent variability in therapeutic practices and the imperative for scalable solutions. This paper presents a transformative Robot-Enhanced Therapy (RET) framework, leveraging an intricate amalgamation of an Adaptive Boosted 3D biomarker approach and Saliency Maps generated through Kernel Density Estimation. By seamlessly integrating these methodologies through majority voting, the framework pioneers a new frontier in automating the assessment of ASD levels and Autism Diagnostic Observation Schedule (ADOS) scores, offering unprecedented precision and efficiency. Drawing upon the rich tapestry of the DREAM Dataset, encompassing data from 61 children, this study meticulously crafts novel features derived from diverse modalities including body skeleton, head movement, and eye gaze data. Our 3D bio-marker approach achieves a remarkable predictive prowess, boasting a staggering 95.59% accuracy and an F1 score of 92.75% for ASD level prediction, alongside an RMSE of 1.78 and an R-squared value of 0.74 for ADOS score prediction. Furthermore, the introduction of a pioneering saliency map generation method, harnessing gaze data, further enhances predictive models, elevating ASD level prediction accuracy to an impressive 97.36%, with a corresponding F1 score of 95.56%. Beyond technical achievements, this study underscores RET’s transformative potential in reshaping ASD intervention paradigms, offering a promising alternative to Standard Human Therapy (SHT) by mitigating therapist variability and providing scalable therapeutic approaches. While acknowledging limitations in the research, such as sample constraints and model generalizability, our findings underscore RET’s capacity to revolutionize ASD management.","1558-0210","","10.1109/TNSRE.2025.3546519","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10906665","Autism;diagnosis;skeleton joint position;eye gaze;artificial intelligence","Autism;Medical treatment;Three-dimensional displays;Vectors;Skeleton;Training;Head;Gaze tracking;Feature extraction;Visualization","Humans;Robotics;Autism Spectrum Disorder;Child;Male;Algorithms;Female;Machine Learning;Autistic Disorder;Child, Preschool;Head Movements;Eye Movements;Fixation, Ocular;Databases, Factual;Ensemble Learning","5","","43","CCBYNCND","27 Feb 2025","2025","","IEEE","IEEE Journals"
"Technological Evolvement in AAC Modalities to Foster Communications of Verbally Challenged ASD Children: A Systematic Review","W. Farzana; F. Sarker; T. Chau; K. A. Mamun","Department of Computer Science and Engineering, Advanced Intelligent Multidisciplinary Systems (AIMS) Laboratory, United International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, University of Liberal Arts Bangladesh, Dhaka, Bangladesh; Institute of Biomaterials and Biomedical Engineering, University of Toronto and Holland Bloorview Kids Rehabilitation Hospital, Toronto, ON, Canada; Department of Computer Science and Engineering, Advanced Intelligent Multidisciplinary Systems (AIMS) Laboratory, United International University, Dhaka, Bangladesh",IEEE Access,"21 Jul 2025","2025","13","","122943","122959","Augmentative and Alternative Communication (AAC) emerged as a combination of methods or strategies that constitute any device, such as Speech Generating Device (SGD), Program (mobile applications), Procedure (PECS, Picture Exchange Communication System), which enhances individual’s communication ability. Autism Spectrum Disorder (ASD) is a spectrum of comprehensive neurodevelopment disorder that leads to speech impairments, repetitive behavior, and social communication difficulties; therefore, it is imperative to underscore that at the core of all impediments are communication impairment. This article represents a systematic review of research initiatives that investigate multi-modal AAC strategies and functionality, features of mobile applications to reinforce communication and communal skills in verbally challenged ASD children because other researches are focused only on low or high-tech AAC or interventions to provide insights on ASD children respond to a particular approach. Following the PRISMA method, a total of 60 (January 2015 to October 2020) research articles were reviewed, indexed by Springer, Science Direct, Scopus, ACM, IEEE databases, and published in the AAC journal. The selected research articles are categorized into different themes where most of them focused on interactive mobile applications to improve emotional, social, learning, and overall communication skills in verbally challenged ASD children. This systematic review provides an outline of the paradigm shift in AAC modalities from PECS to Artificial Intelligence (AI), Machine Learning (ML), and Augmented Reality (AR) based applications. It opens up underline future opportunities to integrate intelligent analytics features in mobile applications to strengthen communication skills in verbally undermined ASD children.","2169-3536","","10.1109/ACCESS.2021.3055195","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9337853","Augmentative and alternative communication (AAC);autism spectrum disorder (ASD);mobile applications;machine learning (ML);artificial intelligence (AI);augmented reality (AR)","Mobile applications;Autism;Systematics;Monitoring;Machine learning;Databases;Augmented reality","","15","","89","CCBYNCND","28 Jan 2021","2025","","IEEE","IEEE Journals"
"A Preliminary Study on Effectiveness of a Standardized Multi-Robot Therapy for Improvement in Collaborative Multi-Human Interaction of Children With ASD","S. Ali; F. Mehmood; M. J. Khan; Y. Ayaz; U. Asgher; H. Sadia; E. Edifor; R. Nawaz","School of Mechanical and Manufacturing Engineering (SMME), National University of Sciences and Technology, Islamabad, Pakistan; School of Mechanical and Manufacturing Engineering (SMME), National University of Sciences and Technology, Islamabad, Pakistan; School of Mechanical and Manufacturing Engineering (SMME), National University of Sciences and Technology, Islamabad, Pakistan; School of Mechanical and Manufacturing Engineering (SMME), National University of Sciences and Technology, Islamabad, Pakistan; School of Mechanical and Manufacturing Engineering (SMME), National University of Sciences and Technology, Islamabad, Pakistan; Shifa International Hospitals Limited, Islamabad, Pakistan; Department of Operations, Technology, Events and Hospitality Management, Manchester Metropolitan University, Manchester, U.K.; Department of Computing, Mathematics and Digital Technology, Manchester Metropolitan University, Manchester, U.K.",IEEE Access,"22 Jun 2020","2020","8","","109466","109474","This research article presents a preliminary longitudinal study to check the improvement in multi-human communication of children with Autism Spectrum Disorder (ASD) using a standardized multi-robot therapy. The research is based on a 3 step framework: 1) Human-Human Interaction, Stage-1 (HHI-S1), 2) Human-Robot Interaction, Stage-2 (HRI-S2), and 3) Human-Human Interaction, Stage-3 (HHI-S3). All three stages of the therapy consist of two command sets: 1) Controls commands and 2) Evaluation commands (auditory commands, visual commands, and combination of both). The concept of multiple robots is introduced to help multi-human communication and discourage isolation in ASD children. The joint attention of an ASD child is improved by the robotic therapy in stage 2 considering it as a key parameter for a multi-human communication scenario. The improvement in joint attention results in better command following in a triad multi-human communication scenario in stage 3 as compared to stage 1. The proposed intervention has been tested on 8 ASD subjects with 10 sessions over a period of two and a half months (10 weeks). Each session of human-human interaction (stage 1 and 3) consisted of 14 cues whereas 18 cues were presented by each robot for human-robot interaction (stage 2). The results indicate an overall 86% improvement in the social communication skills of ASD children in case of a multi-human scenario. Validation of results and effectiveness of the therapy has been further accomplished through the use of the Childhood Autism Rating Scale (CARS) score.","2169-3536","","10.1109/ACCESS.2020.3001365","National University of Sciences and Technology, Islamabad, Pakistan; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9113320","Autism spectrum disorder (ASD);multi-robots;human-robot interaction;robotic therapy","Robots;Medical treatment;Visualization;Autism;Human-robot interaction;Protocols;Collaboration","","18","","23","CCBY","10 Jun 2020","2020","","IEEE","IEEE Journals"
