"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Yu, B.; Li, Y.; Ren, Z.; Pan, J.","Yu, Bo (57224119138); Li, Yue (60354305100); Ren, Zehua (58783632500); Pan, Jingqi (59918551900)","57224119138; 60354305100; 58783632500; 59918551900","BioDiag-Net: Dynamic Multisite Graph Convolutional Network for Computer-Aided ASD Diagnosis with Biomarker Visualization","2025","Information Technology and Control","54","4","","1383","1407","0","10.5755/j01.itc.54.4.41193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028710548&doi=10.5755%2Fj01.itc.54.4.41193&partnerID=40&md5=a39d22ef1003076442999a083e6b23de","School of Computer Science and Technology, Harbin University of Science and Technology, Harbin, Heilongjiang, China","Yu, Bo, School of Computer Science and Technology, Harbin University of Science and Technology, Harbin, Heilongjiang, China; Li, Yue, School of Computer Science and Technology, Harbin University of Science and Technology, Harbin, Heilongjiang, China; Ren, Zehua, School of Computer Science and Technology, Harbin University of Science and Technology, Harbin, Heilongjiang, China; Pan, Jingqi, School of Computer Science and Technology, Harbin University of Science and Technology, Harbin, Heilongjiang, China","B. Yu; School of Computer Science and Technology, Harbin University of Science and Technology, Harbin, 150080, China; email: yubo@hrbust.edu.cn","","Kauno Technologijos Universitetas","1392124X","","","","English","Inf. Technol. Control","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028710548"
"Song, Y.; Yunyun, Y.","Song, Yunfei (60262285800); Yunyun, Zhao (35933717900)","60262285800; 35933717900","Application of Non-contact Health Monitoring and Emotion Recognition Technology in Psychological Health Intervention","2025","Proceedings of 2025 2nd International Conference on Image Processing, Intelligent Control and Computer Engineering, IPICE 2025","","","","456","460","0","10.1145/3768184.3768264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026263626&doi=10.1145%2F3768184.3768264&partnerID=40&md5=8288db142edeeb49ba59e6d723ed1358","School of Economics, Wuhan Business University, Wuhan, Hubei, China","Song, Yunfei, School of Economics, Wuhan Business University, Wuhan, Hubei, China; Yunyun, Zhao, School of Economics, Wuhan Business University, Wuhan, Hubei, China","Y. Zhao; School of Economics, Wuhan Business University, Wuhan, Hubei, China; email: 362714039@qq.com","","Association for Computing Machinery, Inc","","9798400721113","","","English","Proc. Int. Conf. Image Proc., Intell. Control Comput. Eng., IPICE","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026263626"
"Cui, W.; Guo, Z.","Cui, Wenfang (60236658700); Guo, Zichun (57215305368)","60236658700; 57215305368","AR and LLM-Based Virtual Agent for ABA-Oriented Social Training in Autistic Children","2025","Proceedings of the ACM Symposium on Virtual Reality Software and Technology, VRST","Part of 215351","","139","","","0","10.1145/3756884.3768403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024708531&doi=10.1145%2F3756884.3768403&partnerID=40&md5=1127a784d55314ccde66e3d720ce2e23","The University of Sydney, Sydney, NSW, Australia; Beijing University of Chemical Technology, Beijing, China","Cui, Wenfang, The University of Sydney, Sydney, NSW, Australia; Guo, Zichun, Beijing University of Chemical Technology, Beijing, China","W. Cui; Sydney School of Architecture, Design and Planning, The University of Sydney, Sydney, Australia; email: wcui0987@uni.sydney.edu.au","Batmaz, A.U.; Barrera Machuca, M.D.; Ortega, F.R.; Zielasko, D.; Kim, K.; Skarbez, R.; Plabst, L.; Banic, A.; Stroppa, M.S.","Association for Computing Machinery","","9798400721182","","","English","Proc. ACM Symp. Virtual Reality Softw. Technol. VRST","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024708531"
"Kohls, G.; Elster, E.M.; Tino, P.; Fairchild, G.; Stadler, C.; Popma, A.; Freitag, C.M.; De Brito, S.A.; Konrad, K.; Pauli, R.","Kohls, Gregor (55883640600); Elster, Erik M. (57956441200); Tino, Peter (6701490097); Fairchild, Graeme F. (14323081500); Stadler, Christina (7004708853); Popma, Arne (12766482700); Freitag, Christine Margarete (7003868143); De Brito, Stephane Alexandre (26657895200); Konrad, Kerstin (7102334150); Pauli, Ruth (57209361853)","55883640600; 57956441200; 6701490097; 14323081500; 7004708853; 12766482700; 7003868143; 26657895200; 7102334150; 57209361853","Machine learning reveals sex differences in distinguishing between conduct-disordered and neurotypical youth based on emotion processing dysfunction","2025","BMC Psychiatry","25","1","105","","","2","10.1186/s12888-025-06536-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218263325&doi=10.1186%2Fs12888-025-06536-6&partnerID=40&md5=2cb180ccdc570d6b3dfa280a32cf0b66","Department of Child and Adolescent Psychiatry, Technische Universität Dresden, Dresden, Sachsen, Germany; University of Birmingham, Birmingham, West Midlands, United Kingdom; University of Bath, Department of Psychology, Bath, Somerset, United Kingdom; Department of Child and Adolescent Psychiatry, Universitäre Psychiatrische Kliniken Basel, Basel, BS, Switzerland; Department of Child and Adolescent Psychiatry, Amsterdam UMC - Vrije Universiteit Amsterdam, Amsterdam, Noord-Holland, Netherlands; Psychosomatic Medicine and Psychotherapy, Universitätsklinikum Frankfurt, Frankfurt am Main, Hessen, Germany; Centre for Human Brain Health, University of Birmingham, Birmingham, West Midlands, United Kingdom; Department of Child and Adolescent Psychiatry, Rheinisch-Westfälische Technische Hochschule Aachen, Aachen, Nordrhein-Westfalen, Germany; Molecular Neuroscience and Neuroimaging, Forschungszentrum Jülich GmbH, Julich, Germany","Kohls, Gregor, Department of Child and Adolescent Psychiatry, Technische Universität Dresden, Dresden, Sachsen, Germany; Elster, Erik M., Department of Child and Adolescent Psychiatry, Technische Universität Dresden, Dresden, Sachsen, Germany; Tino, Peter, University of Birmingham, Birmingham, West Midlands, United Kingdom; Fairchild, Graeme F., University of Bath, Department of Psychology, Bath, Somerset, United Kingdom; Stadler, Christina, Department of Child and Adolescent Psychiatry, Universitäre Psychiatrische Kliniken Basel, Basel, BS, Switzerland; Popma, Arne, Department of Child and Adolescent Psychiatry, Amsterdam UMC - Vrije Universiteit Amsterdam, Amsterdam, Noord-Holland, Netherlands; Freitag, Christine Margarete, Psychosomatic Medicine and Psychotherapy, Universitätsklinikum Frankfurt, Frankfurt am Main, Hessen, Germany; De Brito, Stephane Alexandre, Centre for Human Brain Health, University of Birmingham, Birmingham, West Midlands, United Kingdom; Konrad, Kerstin, Department of Child and Adolescent Psychiatry, Rheinisch-Westfälische Technische Hochschule Aachen, Aachen, Nordrhein-Westfalen, Germany, Molecular Neuroscience and Neuroimaging, Forschungszentrum Jülich GmbH, Julich, Germany; Pauli, Ruth, Centre for Human Brain Health, University of Birmingham, Birmingham, West Midlands, United Kingdom","G. Kohls; Department of Child and Adolescent Psychiatry, Faculty of Medicine, TUD Dresden University of Technology, German Center for Child and Adolescent Health (DZKJ), partner site Leipzig/Dresden, Dresden, Germany; email: gregor.kohls@ukdd.de","","BioMed Central Ltd","1471244X","","BPMSC","39915750","English","BMC Psychiatry","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85218263325"
"Curtis, S.; Izett, E.","Curtis, Sam (59468599300); Izett, Elizabeth (57296779000)","59468599300; 57296779000","The experience of mothers of autistic children with a pathological demand avoidance profile: an interpretative phenomenological analysis","2025","Discover Mental Health","5","1","5","","","1","10.1007/s44192-025-00127-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218243293&doi=10.1007%2Fs44192-025-00127-3&partnerID=40&md5=939ccc2b9116dfc175f69f8c3b63b80a","School of Arts and Humanities, Edith Cowan University, Perth, WA, Australia","Curtis, Sam, School of Arts and Humanities, Edith Cowan University, Perth, WA, Australia; Izett, Elizabeth, School of Arts and Humanities, Edith Cowan University, Perth, WA, Australia","S. Curtis; School of Arts and Humanities, Edith Cowan University, Perth, Australia; email: scurtis6@our.ecu.edu.au","","Springer Nature","","","","","English","Discov. Mental Health","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85218243293"
"Arabian, H.; Abdulbaki Alshirbaji, T.A.; Bhave, A.; Wagner-Hartl, V.; Igel, M.; Chase, J.G.; Möller, K.","Arabian, Herag (57364119400); Abdulbaki Alshirbaji, Tamer (57205366965); Bhave, Ashish (57363866900); Wagner-Hartl, Verena (57002533000); Igel, Marcel (59454174500); Chase, James Geoffrey (35570524900); Möller, Knut (58746023700)","57364119400; 57205366965; 57363866900; 57002533000; 59454174500; 35570524900; 58746023700","Feasibility study of emotion mimicry analysis in human–machine interaction","2025","Scientific Reports","15","1","3859","","","0","10.1038/s41598-025-87688-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217731497&doi=10.1038%2Fs41598-025-87688-z&partnerID=40&md5=ae8608ef766900960bb0be934bbd96f9","Institute of Technical Medicine (ITeM), Hochschule Furtwangen, Furtwangen, Baden-Wurttemberg, Germany; Universität Leipzig, Leipzig, Sachsen, Germany; Faculty of Engineering, Universität Freiburg, Freiburg im Breisgau, Baden-Wurttemberg, Germany; Department of Industrial Technologies, Hochschule Furtwangen, Furtwangen, Baden-Wurttemberg, Germany; Imsimity GmbH, St. Georgen im Schwarzwald, Germany; Department of Mechanical Engineering, University of Canterbury, Christchurch, CAN, New Zealand","Arabian, Herag, Institute of Technical Medicine (ITeM), Hochschule Furtwangen, Furtwangen, Baden-Wurttemberg, Germany; Abdulbaki Alshirbaji, Tamer, Institute of Technical Medicine (ITeM), Hochschule Furtwangen, Furtwangen, Baden-Wurttemberg, Germany, Universität Leipzig, Leipzig, Sachsen, Germany; Bhave, Ashish, Institute of Technical Medicine (ITeM), Hochschule Furtwangen, Furtwangen, Baden-Wurttemberg, Germany, Faculty of Engineering, Universität Freiburg, Freiburg im Breisgau, Baden-Wurttemberg, Germany; Wagner-Hartl, Verena, Institute of Technical Medicine (ITeM), Hochschule Furtwangen, Furtwangen, Baden-Wurttemberg, Germany, Department of Industrial Technologies, Hochschule Furtwangen, Furtwangen, Baden-Wurttemberg, Germany; Igel, Marcel, Imsimity GmbH, St. Georgen im Schwarzwald, Germany; Chase, James Geoffrey, Department of Mechanical Engineering, University of Canterbury, Christchurch, CAN, New Zealand; Möller, Knut, Institute of Technical Medicine (ITeM), Hochschule Furtwangen, Furtwangen, Baden-Wurttemberg, Germany","A. Bhave; Institute of Technical Medicine (ITeM), Furtwangen University, Villingen-Schwenningen, 78054, Germany; email: ab1533@students.uni-freiburg.de","","Nature Research","","","","39890838","English","Sci. Rep.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85217731497"
"Mathumitha, R.; Maryposonia, A.","Mathumitha, R. (57772755900); Maryposonia, A. (57773448800)","57772755900; 57773448800","Emotion analysis of EEG signals using proximity-conserving auto-encoder (PCAE) and ensemble techniques","2025","Cognitive Neurodynamics","19","1","32","","","3","10.1007/s11571-024-10187-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217362456&doi=10.1007%2Fs11571-024-10187-w&partnerID=40&md5=2e5fa56a50c47fc2c94a38790f6ecda8","Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, TN, India","Mathumitha, R., Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, TN, India; Maryposonia, A., Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, TN, India","R. Mathumitha; Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, TamilNadu, India; email: mathumithar0210@gmail.com","","Springer Science and Business Media B.V.","18714080","","","","English","Cogn. Neurodynamics","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85217362456"
"Qian, L.; Ding, N.; Fang, H.; Xiao, T.; Sun, B.; Gao, H.; Ke, X.","Qian, Lu (57188717234); Ding, Ning (57203540012); Fang, Hui (55990714700); Xiao, Ting (55385916900); Sun, Bei (57398073700); Gao, Huiyun (57306118600); Ke, Xiaoyan (16171001800)","57188717234; 57203540012; 55990714700; 55385916900; 57398073700; 57306118600; 16171001800","Pragmatic performance, its relationship with symptom severity, and early clinical predictors of pragmatics in 5 ~ 6-year-old children with autism spectrum disorder","2025","BMC Psychiatry","25","1","58","","","1","10.1186/s12888-024-06452-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216439782&doi=10.1186%2Fs12888-024-06452-1&partnerID=40&md5=564ac594a708f9e3ed3e314f25ad2c1d","Child Mental Health Research Center, Nanjing Brain Hospital, Nanjing, Jiangsu, China; Department of Psychiatry, Jiangnan University, Wuxi, Jiangsu, China","Qian, Lu, Child Mental Health Research Center, Nanjing Brain Hospital, Nanjing, Jiangsu, China, Department of Psychiatry, Jiangnan University, Wuxi, Jiangsu, China; Ding, Ning, Child Mental Health Research Center, Nanjing Brain Hospital, Nanjing, Jiangsu, China; Fang, Hui, Child Mental Health Research Center, Nanjing Brain Hospital, Nanjing, Jiangsu, China; Xiao, Ting, Child Mental Health Research Center, Nanjing Brain Hospital, Nanjing, Jiangsu, China; Sun, Bei, Child Mental Health Research Center, Nanjing Brain Hospital, Nanjing, Jiangsu, China; Gao, Huiyun, Child Mental Health Research Center, Nanjing Brain Hospital, Nanjing, Jiangsu, China; Ke, Xiaoyan, Child Mental Health Research Center, Nanjing Brain Hospital, Nanjing, Jiangsu, China","X. Ke; Child Mental Health Research Center, Nanjing Brain Hospital affiliated with Nanjing Medical University, Nanjing, Nanjing GuangZhou Road 264#, 210029, China; email: kexiaoyan@njmu.edu.cn","","BioMed Central Ltd","1471244X","","BPMSC","39833750","English","BMC Psychiatry","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85216439782"
"Eni, M.; Zigel, Y.; Ilan, M.; Michaelovski, A.; Golan, H.M.; Meiri, G.; Menashe, I.; Dinstein, I.","Eni, Marina (57218562090); Zigel, Yaniv (6602449189); Ilan, Michal (57194595484); Michaelovski, Analya (57201374867); Golan, Hava M. (35555657000); Meiri, Gal (7801433301); Menashe, Idan (57220360596); Dinstein, Ilan (21742041100)","57218562090; 6602449189; 57194595484; 57201374867; 35555657000; 7801433301; 57220360596; 21742041100","Reliably quantifying the severity of social symptoms in children with autism using ASDSpeech","2025","Translational Psychiatry","15","1","14","","","4","10.1038/s41398-025-03233-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216439768&doi=10.1038%2Fs41398-025-03233-6&partnerID=40&md5=5fb271c49816ced53161f83bd9a9e361","Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel; Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel; Pre-School Psychiatry Unit, Soroka University Medical Center, Beer-Sheva, Israel; Zusman Child Development Center, Soroka University Medical Center, Beer-Sheva, Israel; Department of Cell Biology and Physiology, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel; Department of Epidemiology, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel; Department of Psychology, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel; Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel","Eni, Marina, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel; Zigel, Yaniv, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel; Ilan, Michal, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel, Pre-School Psychiatry Unit, Soroka University Medical Center, Beer-Sheva, Israel; Michaelovski, Analya, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel, Zusman Child Development Center, Soroka University Medical Center, Beer-Sheva, Israel; Golan, Hava M., Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel, Department of Cell Biology and Physiology, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel; Meiri, Gal, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel, Pre-School Psychiatry Unit, Soroka University Medical Center, Beer-Sheva, Israel; Menashe, Idan, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel, Department of Epidemiology, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel; Dinstein, Ilan, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel, Department of Psychology, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel, Ben-Gurion University of the Negev, Beer-Sheva, Southern District, Israel","M. Eni; Department of Biomedical Engineering, Ben-Gurion University of the Negev, Beer-Sheva, Israel; email: marinamu@post.bgu.ac.il","","Springer Nature","","","","39827120","English","Transl. Psychiatry","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85216439768"
"Ay, B.; Balatacı, U.","Ay, Bari (57205406427); Balatacı, Umut (58616849700)","57205406427; 58616849700","Perceptions of parents regarding psychiatric medication use in children presenting to a child and adolescent psychiatry outpatient clinic in Karabük, Türkiye","2025","BMC Psychiatry","25","1","1188","","","0","10.1186/s12888-025-07653-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026299758&doi=10.1186%2Fs12888-025-07653-y&partnerID=40&md5=b41d04ac86f391c15c5501a8678c916b","Department of Child and Adolescent Psychiatry, Karabük Üniversitesi, Karabuk, Turkey","Ay, Bari, Department of Child and Adolescent Psychiatry, Karabük Üniversitesi, Karabuk, Turkey; Balatacı, Umut, Department of Child and Adolescent Psychiatry, Karabük Üniversitesi, Karabuk, Turkey","U. Balatacı; Department of Child and Adolescent Psychiatry, Faculty of Medicine, Karabük University, Karabük, Turkey; email: umutbalataci@karabuk.edu.tr","","BioMed Central Ltd","1471244X","","BPMSC","41291530","English","BMC Psychiatry","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105026299758"
